questionText,questionHindi,questionType,optionA,optionB,optionC,optionD,correctAnswer,explanation,explanationHindi,examSlug,phaseSlug,subjectSlug,topicSlug,subtopicSlug,difficulty,marks,negativeMarks,language,sourceType,sourceName,sourceUrl,sourceYear,paperName,paperCode,questionNumberInPaper,isPreviousYearQuestion,tags
"Which of the following is correct regarding the scope of the Right to Life under Article 21 of the Indian Constitution?","भारतीय संविधान के अनुच्छेद 21 के तहत जीवन के अधिकार के दायरे के संबंध में निम्नलिखित में से कौन सा सही है?",mcq,"It includes only the right to mere animal existence.","It includes the right to live with human dignity and all aspects of life that go to make a person's life meaningful.","It can be suspended under any emergency situation without judicial recourse.","It does not cover environmental rights such as clean water or air.","It includes the right to live with human dignity and all aspects of life that go to make a person's life meaningful.","In landmark judgements like Maneka Gandhi vs Union of India, the Supreme Court ruled that Article 21 is not restricted to physical existence but covers human dignity and right to a clean environment.","मेनका गांधी बनाम भारत संघ जैसे ऐतिहासिक निर्णयों में, सुप्रीम कोर्ट ने फैसला सुनाया कि अनुच्छेद 21 केवल शारीरिक अस्तित्व तक सीमित नहीं है बल्कि मानव गरिमा को भी कवर करता है।",upsc-civil-services-examination,upsc-prelims,gs-paper-i,indian-polity-and-governance,fundamental-rights,medium,2,0.66,bilingual,original_practice,TargetRank Practice Set,https://targetrank.com,2026,Polity Core Drill 1,,1,false,"fundamental_rights,polity,foundation"
"Consider the following statements regarding the 73rd Constitutional Amendment Act of 1992:
1. It added Part IX to the Constitution.
2. It made the establishment of Gram Sabhas mandatory in all villages.
Which of the statements given above is/are correct?","1992 के 73वें संविधान संशोधन अधिनियम के संबंध में निम्नलिखित कथनों पर विचार करें:
1. इसने संविधान में भाग IX जोड़ा।
2. इसने सभी गाँवों में ग्राम सभाओं की स्थापना को अनिवार्य बना दिया।
ऊपर दिए गए कथनों में से कौन सा/से सही है/हैं?",mcq,1 only,2 only,Both 1 and 2,Neither 1 nor 2,Both 1 and 2,"The 73rd Amendment inserted Part IX ('The Panchayats') and Article 243A, which mandates Gram Sabha as the foundation of the Panchayati Raj system.","73वें संशोधन ने भाग IX ('पंचायते') और अनुच्छेद 243A जोड़ा, जो ग्राम सभा को पंचायती राज प्रणाली की नींव के रूप में अनिवार्य बनाता है।",upsc-civil-services-examination,upsc-prelims,gs-paper-i,indian-polity-and-governance,local-government,medium,2,0.66,bilingual,original_practice,TargetRank Practice Set,,2026,Panchayati Raj Drill,,2,false,"panchayati_raj,local_government,polity"
"Which of the following Harappan sites is best known for its unique water harvesting system and grand stadium?","निम्नलिखित में से कौन सा हड़प्पा स्थल अपनी अनूठी जल संचयन प्रणाली और विशाल स्टेडियम के लिए जाना जाता है?",mcq,Lothal,Kalibangan,Dholavira,Banawali,Dholavira,"Dholavira, located in Gujarat (Kutch), features deep stone water reservoirs and a large stadium or open ground.","गुजरात (कच्छ) में स्थित धोलावीरा में पत्थर के गहरे जल जलाशय और एक बड़ा स्टेडियम या खुला मैदान है।",upsc-civil-services-examination,upsc-prelims,gs-paper-i,history,ancient-india,medium,2,0.66,bilingual,original_practice,TargetRank Practice Set,,2026,Ancient History Drill 1,,3,false,"indus_valley,ancient_history,history"
"At which of the following sessions did the All India Congress Committee pass the historic 'Quit India' Resolution in August 1942?","निम्नलिखित में से किस अधिवेशन में अखिल भारतीय कांग्रेस कमेटी ने अगस्त 1942 में ऐतिहासिक 'भारत छोड़ो' प्रस्ताव पारित किया था?",mcq,Bombay (Gowalia Tank),Wardha,Tripuri,Ramgarh,Bombay (Gowalia Tank),"The resolution was passed at the Gowalia Tank Maidan in Bombay (now Mumbai) on August 8, 1942.","यह प्रस्ताव 8 अगस्त, 1942 को बॉम्बे (अब मुंबई) के गोवालिया टैंक मैदान में पारित किया गया था।",upsc-civil-services-examination,upsc-prelims,gs-paper-i,history,indian-national-movement,easy,2,0.66,bilingual,original_practice,TargetRank Practice Set,,2026,National Movement Drill,,4,false,"quit_india,modern_history,history"
"Who led the anti-British rebellion of 1857 in Bihar?","बिहार में 1857 के ब्रिटिश विरोधी विद्रोह का नेतृत्व किसने किया?",mcq,Kunwar Singh,Nana Sahib,Tantia Tope,Khan Bahadur Khan,Kunwar Singh,"Kunwar Singh, the zamindar of Jagdishpur near Arrah, led the 1857 rebellion in Bihar at the age of nearly 80.","आरा के पास जगदीशपुर के जमींदार कुंवर सिंह ने लगभग 80 वर्ष की आयु में बिहार में 1857 के विद्रोह का नेतृत्व किया था।",bpsc-state-services,bpsc-prelims,general-studies,bihar-history,,easy,1,0.33,bilingual,original_practice,TargetRank BPSC Drill,,2026,Bihar Special History,,5,false,"kunwar_singh,bihar_1857,bpsc_special"
"The River Koshi, often referred to as the 'Sorrow of Bihar', enters the state of Bihar in which of the following districts?","कोशी नदी, जिसे अक्सर 'बिहार का शोक' कहा जाता है, बिहार राज्य में निम्नलिखित में से किस जिले में प्रवेश करती है?",mcq,Supaul,Kishanganj,Purnia,Araria,Supaul,"The Koshi river enters Bihar at Bhimnagar in the Supaul district before joining the Ganges river later.","कोशी नदी बाद में गंगा नदी में मिलने से पहले सुपौल जिले के भीमनगर में बिहार में प्रवेश करती है।",bpsc-state-services,bpsc-prelims,general-studies,bihar-geography,,medium,1,0.33,bilingual,original_practice,TargetRank BPSC Drill,,2026,Bihar Geography Drill,,6,false,"koshi_river,bihar_geography,bpsc_special"
"Under the Chhotanagpur Tenancy (CNT) Act of 1908, who has the primary authority to restrict the transfer of tribal land to non-tribals?","छोटानागपुर किरायेदारी (सीएनटी) अधिनियम 1908 के तहत, गैर-आदिवासियों को जनजातीय भूमि के हस्तांतरण को प्रतिबंधित करने का प्राथमिक अधिकार किसके पास है?",mcq,The Deputy Commissioner,The Governor of the State,The Chief Minister,The Local Panchayat Committee,The Deputy Commissioner,"The Deputy Commissioner (DC) holds crucial regulatory powers under Section 46 of the CNT Act to restrict or permit tribal land transfers under specific laws.","डिप्टी कमिश्नर (डीसी) के पास सीएनटी अधिनियम की धारा 46 के तहत जनजातीय भूमि हस्तांतरण को प्रतिबंधित करने या अनुमति देने के महत्वपूर्ण नियामक अधिकार हैं।",jpsc-state-services,jpsc-prelims-paper-i,general-studies-i,jharkhand-history,,hard,2,0,bilingual,original_practice,TargetRank JPSC Drill,,2026,Jharkhand Land Laws,,7,false,"cnt_act,jharkhand_laws,jpsc_special"
"Which of the following tribal festivals in Jharkhand is known for planting Sal tree branches and celebrating new crop yields?","झारखंड में निम्नलिखित में से कौन सा जनजातीय त्योहार साल के पेड़ की शाखाओं को लगाने और नई फसल की पैदावार का जश्न मनाने के लिए जाना जाता है?",mcq,Sarhul,Karam,Bandna,Sohrai,Sarhul,"Sarhul is a prominent spring festival celebrated by tribal groups in Jharkhand when new flowers appear on Sal trees.","सरहुल झारखंड में जनजातीय समूहों द्वारा मनाया जाने वाला एक प्रमुख वसंत त्योहार है जब साल के पेड़ों पर नए फूल आते हैं।",jpsc-state-services,jpsc-prelims-paper-i,general-studies-i,jharkhand-culture,,medium,2,0,bilingual,original_practice,TargetRank JPSC Drill,,2026,Jharkhand Festivals,,8,false,"sarhul,jharkhand_culture,jpsc_special"
"The historic Lucknow Pact, which brought moderate and extremist factions of Congress together, was signed in which year?","ऐतिहासिक लखनऊ समझौता, जिसने कांग्रेस के उदारवादी और चरमपंथी गुटों को एक साथ लाया, किस वर्ष हस्ताक्षरित किया गया था?",mcq,1916,1907,1920,1911,1916,"The Lucknow session of the Indian National Congress in 1916 was presided over by Ambica Charan Mazumdar and brought Congress factions together.","1916 में भारतीय राष्ट्रीय कांग्रेस के लखनऊ अधिवेशन की अध्यक्षता अंबिका चरण मजूमदार ने की थी और इसमें कांग्रेस के गुटों को एक साथ लाया गया था।",uppsc-state-services,uppsc-prelims-paper-i,general-studies-i,uttar-pradesh-history,,easy,2,0.66,bilingual,original_practice,TargetRank UPPSC Drill,,2026,Lucknow Pact Special,,9,false,"lucknow_pact,uppsc_special,history"
"Which of the following classical dance forms originated in Uttar Pradesh under the patronage of Nawab Wajid Ali Shah?","नवाब वाजिद अली शाह के संरक्षण में निम्नलिखित में से किस शास्त्रीय नृत्य शैली की उत्पत्ति उत्तर प्रदेश में हुई थी?",mcq,Kathak,Kathakali,Bharatanatyam,Odissi,Kathak,"Kathak originated in northern India, and Nawab Wajid Ali Shah of Awadh was a key patron who established its Lucknow gharana style.","कथक की उत्पत्ति उत्तरी भारत में हुई थी, और अवध के नवाब वाजिद अली शाह इसके प्रमुख संरक्षक थे जिन्होंने इसकी लखनऊ घराना शैली की स्थापना की थी।",uppsc-state-services,uppsc-prelims-paper-i,general-studies-i,uttar-pradesh-culture,,easy,2,0.66,bilingual,original_practice,TargetRank UPPSC Drill,,2026,UP Classical Arts,,10,false,"kathak,uppsc_special,culture"
